seq,wall_ts,mono_ts,can_id,is_extended,is_remote,is_error,dlc,data_hex,interface
1,1786717267.6273434,608939.172063805,418316097,1,0,0,8,4FE5C92C00A046C0,can0
2,1786717267.6433241,608939.188044055,485490497,1,0,0,8,66998FEDDD000000,can0
3,1786717267.696605,608939.24132468,485490497,1,0,0,8,6699BCED97EF0100,can0
4,1786717267.6974843,608939.242199346,485490497,1,0,0,8,6699B1ED84DAF505,can0
5,1786717267.7017014,608939.246417638,485490497,1,0,0,8,6699CCECAA880000,can0
6,1786717267.702828,608939.247543305,485490497,1,0,0,8,6699CBEC5C7D0000,can0
7,1786717267.7060318,608939.250747138,485490497,1,0,0,8,6699DCECA0D80000,can0
8,1786717267.7080016,608939.252716596,485490497,1,0,0,8,6699DBEC657C0000,can0
9,1786717267.7087727,608939.253486138,485490497,1,0,0,8,6699ECEC958E0000,can0
10,1786717267.7095308,608939.254246221,485490497,1,0,0,8,6699EBEC6F7E0000,can0
11,1786717267.7103148,608939.25502993,485490497,1,0,0,8,6699FBECB7550000,can0
12,1786717267.785974,608939.330692763,485442017,1,0,0,8,66990100D0EDFCFF,can0
13,1786717267.7873971,608939.332114138,485442017,1,0,0,8,66990100DCEDFEFF,can0
14,1786717267.7883368,608939.333051097,485442017,1,0,0,8,66990100DAEDFFFF,can0
15,1786717267.7982593,608939.342974222,485442017,1,0,0,8,669901002720FFFF,can0
16,1786717267.7990153,608939.343729972,485490497,1,0,0,8,6699DAED00000000,can0
17,1786717267.7996428,608939.344357555,485490497,1,0,0,8,66992720BBDD0300,can0
18,1786717267.811467,608939.356187347,485490497,1,0,0,8,6699DCED36110000,can0
19,1786717267.8126018,608939.357317888,485490496,1,0,0,8,66998DED7D150000,can0
20,1786717267.8135424,608939.35825918,485490497,1,0,0,8,6699DDEDBC280000,can0
21,1786717267.8163033,608939.36102643,485490497,1,0,0,8,6699D0ED38080000,can0
22,1786717267.8172047,608939.36191868,485490497,1,0,0,8,6699D1ED29010000,can0
23,1786717267.8179612,608939.362675305,485490497,1,0,0,8,6699D2ED35090000,can0
24,1786717267.8187096,608939.363423347,485490497,1,0,0,8,6699D3EDE8000000,can0
25,1786717267.8650763,608939.409795597,485490496,1,0,0,8,6699BCEDB9E70100,can0
26,1786717267.8661249,608939.410839263,485490496,1,0,0,8,6699B1EDD0027A00,can0
27,1786717267.8668432,608939.411557305,485490496,1,0,0,8,6699CCEC767E0000,can0
28,1786717267.8674963,608939.412210097,485490496,1,0,0,8,6699CBECD8860000,can0
29,1786717267.8712258,608939.415940888,485490496,1,0,0,8,6699DCECFA740000,can0
30,1786717267.8720596,608939.41677443,485490496,1,0,0,8,6699DBEC6D880000,can0
31,1786717267.8730795,608939.417793972,485490496,1,0,0,8,6699ECEC3B7C0000,can0
32,1786717267.8740726,608939.418788388,485490496,1,0,0,8,6699EBECC6780000,can0
33,1786717267.8749413,608939.419656763,485490496,1,0,0,8,6699FCECF7750000,can0
34,1786717267.8777306,608939.422445805,485490496,1,0,0,8,6699FBEC28520000,can0
35,1786717267.8993013,608939.44402168,485490496,1,0,0,8,66998FED01010000,can0
36,1786717267.963372,608939.508091763,485441761,1,0,0,8,6699152034030000,can0
37,1786717267.9644165,608939.509130472,485442017,1,0,0,8,6699152016030000,can0
38,1786717267.9674058,608939.51212068,485490496,1,0,0,8,6699152034030000,can0
39,1786717267.9680905,608939.512805722,485490497,1,0,0,8,6699152016030000,can0
40,1786717267.99034,608939.535061388,485490657,1,0,0,8,6699FF0FAC260000,can0
41,1786717267.992559,608939.537274513,485490657,1,0,0,8,66991C20C441FFFF,can0
42,1786717268.0807729,608939.625493763,485490657,1,0,0,8,669902207C150000,can0
43,1786717268.181851,608939.726570347,485490497,1,0,0,8,6699DBED04100000,can0
44,1786717268.1856985,608939.730416638,773,0,0,0,8,0000000000000000,can0
45,1786717268.1865,608939.731214013,775,0,0,0,8,1234567856494300,can0
46,1786717268.554778,608940.099506347,485490496,1,0,0,8,66990102FC000000,can0
47,1786717268.5575216,608940.10223743,485490496,1,0,0,8,66990A02FC000000,can0
48,1786717268.5957274,608940.140451514,435295296,1,0,0,8,007C1500010474C4,can0
49,1786717268.5980506,608940.142766847,435294784,1,0,0,8,600BC40000FFFFFF,can0
50,1786717268.5992105,608940.143930055,435294784,1,0,0,8,61FF4A00FFFFFFFF,can0
51,1786717268.6003778,608940.145094222,435357504,1,0,0,8,C4018C0D4F0000FF,can0
52,1786717268.6015003,608940.146214514,435294784,1,0,0,8,600BC40103FFFFFF,can0
53,1786717268.6025789,608940.147294597,435294784,1,0,0,8,61FFFFFFFFFFFFFF,can0
54,1786717268.603686,608940.148405972,435357504,1,0,0,8,C402A90D540000FF,can0
55,1786717268.6048312,608940.149551347,435294784,1,0,0,8,400BC40203FFFFFF,can0
56,1786717268.6061478,608940.150863639,435294784,1,0,0,8,41FFFFFFFFFFFFFF,can0
57,1786717268.6072974,608940.152013639,435357504,1,0,0,8,C403200C690000FF,can0
58,1786717268.6082594,608940.152973014,435294784,1,0,0,8,400BC40303FFFFFF,can0
59,1786717268.609235,608940.15394968,435294784,1,0,0,8,41FFFFFFFFFFFFFF,can0
60,1786717268.6100643,608940.154780014,435357504,1,0,0,8,C4043C08810000FF,can0
61,1786717268.6109283,608940.155648555,435294784,1,0,0,8,400BC40403FFFFFF,can0
62,1786717268.6117868,608940.156500722,435294784,1,0,0,8,41FFFFFFFFFFFFFF,can0
63,1786717268.6125648,608940.157282972,435357248,1,0,0,8,C4FFFC00FFFFFFFF,can0
64,1786717268.6134975,608940.158211264,233966912,1,0,0,8,0001FDFFFFFFFFFF,can0
65,1786717268.614395,608940.159107222,485490496,1,0,0,8,6699000201000000,can0
66,1786717268.6149514,608940.15966393,485490496,1,0,0,8,6699020200000000,can0
67,1786717268.6156137,608940.160327389,485490496,1,0,0,8,6699070200000000,can0
68,1786717268.6163273,608940.161042055,485490496,1,0,0,8,66991E0300000000,can0
69,1786717268.6169224,608940.161636389,485490496,1,0,0,8,66991C0300000000,can0
70,1786717268.6175997,608940.16231368,485490496,1,0,0,8,66998DED7C150000,can0
71,1786717268.6423042,608940.187024889,485490497,1,0,0,8,66998FEDDE000000,can0
72,1786717268.643672,608940.18838643,485490497,1,0,0,8,6699DBED04100000,can0
73,1786717268.6535866,608940.198306889,485490496,1,0,0,8,66998FEDFF000000,can0
74,1786717268.6546385,608940.19935318,485490496,1,0,0,8,6699ECED04740000,can0
75,1786717268.6603096,608940.205029222,485490496,1,0,0,8,6699DAED00000000,can0
76,1786717268.6945696,608940.239290014,485490497,1,0,0,8,6699BCED49F20100,can0
77,1786717268.6966748,608940.241389889,485490497,1,0,0,8,6699B1ED37DFF505,can0
78,1786717268.6979027,608940.242617222,485490497,1,0,0,8,6699CCEC508A0000,can0
79,1786717268.6985683,608940.243281555,485490497,1,0,0,8,6699CBEC377C0000,can0
80,1786717268.6991403,608940.243856972,485490497,1,0,0,8,6699DCECCCD90000,can0
81,1786717268.7004528,608940.245169014,485490497,1,0,0,8,6699DBEC017B0000,can0
82,1786717268.7019818,608940.246695597,485490497,1,0,0,8,6699ECEC808E0000,can0
