sample_id,wall_ts,mono_ts,cell_index,voltage_v,reconstructed,source,pack_voltage_v
1,1786717959.648,609636.672217596,1,3.398,0,json:reported,54.32
1,1786717959.648,609636.672217596,2,3.396,0,json:reported,54.32
1,1786717959.648,609636.672217596,3,3.403,0,json:reported,54.32
1,1786717959.648,609636.672217596,4,3.402,0,json:reported,54.32
1,1786717959.648,609636.672217596,5,3.402,0,json:reported,54.32
1,1786717959.648,609636.672217596,6,3.388,0,json:reported,54.32
1,1786717959.648,609636.672217596,7,3.408,0,json:reported,54.32
1,1786717959.648,609636.672217596,8,3.386,0,json:reported,54.32
1,1786717959.648,609636.672217596,9,3.398,0,json:reported,54.32
1,1786717959.648,609636.672217596,10,3.4,0,json:reported,54.32
1,1786717959.648,609636.672217596,11,3.369,0,json:reported,54.32
1,1786717959.648,609636.672217596,12,3.391,0,json:reported,54.32
1,1786717959.648,609636.672217596,13,3.399,0,json:reported,54.32
1,1786717959.648,609636.672217596,14,3.391,0,json:reported,54.32
1,1786717959.648,609636.672217596,15,3.395,0,json:reported,54.32
1,1786717959.648,609636.672217596,16,3.3939999999999984,1,json:calculated,54.32
2,1786717959.648,609637.688528513,1,3.398,0,json:reported,54.32
2,1786717959.648,609637.688528513,2,3.396,0,json:reported,54.32
2,1786717959.648,609637.688528513,3,3.403,0,json:reported,54.32
2,1786717959.648,609637.688528513,4,3.402,0,json:reported,54.32
2,1786717959.648,609637.688528513,5,3.402,0,json:reported,54.32
2,1786717959.648,609637.688528513,6,3.388,0,json:reported,54.32
2,1786717959.648,609637.688528513,7,3.408,0,json:reported,54.32
2,1786717959.648,609637.688528513,8,3.386,0,json:reported,54.32
2,1786717959.648,609637.688528513,9,3.398,0,json:reported,54.32
2,1786717959.648,609637.688528513,10,3.4,0,json:reported,54.32
2,1786717959.648,609637.688528513,11,3.369,0,json:reported,54.32
2,1786717959.648,609637.688528513,12,3.391,0,json:reported,54.32
2,1786717959.648,609637.688528513,13,3.399,0,json:reported,54.32
2,1786717959.648,609637.688528513,14,3.391,0,json:reported,54.32
2,1786717959.648,609637.688528513,15,3.395,0,json:reported,54.32
2,1786717959.648,609637.688528513,16,3.3939999999999984,1,json:calculated,54.32
3,1786717959.648,609638.701939847,1,3.398,0,json:reported,54.32
3,1786717959.648,609638.701939847,2,3.396,0,json:reported,54.32
3,1786717959.648,609638.701939847,3,3.403,0,json:reported,54.32
3,1786717959.648,609638.701939847,4,3.402,0,json:reported,54.32
3,1786717959.648,609638.701939847,5,3.402,0,json:reported,54.32
3,1786717959.648,609638.701939847,6,3.388,0,json:reported,54.32
3,1786717959.648,609638.701939847,7,3.408,0,json:reported,54.32
3,1786717959.648,609638.701939847,8,3.386,0,json:reported,54.32
3,1786717959.648,609638.701939847,9,3.398,0,json:reported,54.32
3,1786717959.648,609638.701939847,10,3.4,0,json:reported,54.32
3,1786717959.648,609638.701939847,11,3.369,0,json:reported,54.32
