seq,wall_ts,mono_ts,can_id,is_extended,is_remote,is_error,is_local,direction,dlc,data_hex,interface
1,1786725744.263786,617415.678896888,858,0,0,0,0,BUS_RX,8,0000000000000000,can1
2,1786725744.275581,617415.690690388,860,0,0,0,0,BUS_RX,8,C000000000000000,can1
3,1786725744.2927527,617415.707865388,862,0,0,0,0,BUS_RX,8,44594E4553532D4C,can1
4,1786725744.3372366,617415.752348596,863,0,0,0,0,BUS_RX,8,2BA4EB0E2A020000,can1
5,1786725744.3902676,617415.80537993,880,0,0,0,0,BUS_RX,8,44594E4553532D4C,can1
6,1786725744.3913863,617415.806494763,1023,0,0,0,0,BUS_RX,8,630F980000000001,can1
7,1786725744.439332,617415.854445805,881,0,0,0,0,BUS_RX,8,2042415454455259,can1
8,1786725744.4941618,617415.909310097,781,0,0,0,0,BUS_RX,8,640005001E013002,can1
9,1786725744.6358457,617416.050959263,1023,0,0,0,0,BUS_RX,8,630F970000000001,can1
10,1786725744.6635847,617416.07869718,773,0,0,0,1,CERBO_TX,8,0000000000000000,can1
11,1786725744.6646626,617416.07976968,775,0,0,0,1,CERBO_TX,8,1234567856494300,can1
12,1786725744.885916,617416.301024722,1023,0,0,0,0,BUS_RX,8,630F970000000001,can1
13,1786725744.9357831,617416.350895097,783,0,0,0,0,BUS_RX,8,0000000000000000,can1
14,1786725744.9862206,617416.40133218,849,0,0,0,0,BUS_RX,8,35026004880FE001,can1
15,1786725745.0358443,617416.450958513,853,0,0,0,0,BUS_RX,8,6300640000000000,can1
16,1786725745.0905707,617416.505682972,854,0,0,0,0,BUS_RX,8,64151300F0000000,can1
17,1786725745.138359,617416.55347143,857,0,0,0,0,BUS_RX,8,0000000002000000,can1
18,1786725745.1393557,617416.554461889,1023,0,0,0,0,BUS_RX,8,630F960000000001,can1
19,1786725745.1870322,617416.602145014,858,0,0,0,0,BUS_RX,8,0000000000000000,can1
20,1786725745.242744,617416.657856014,860,0,0,0,0,BUS_RX,8,C000000000000000,can1
21,1786725745.2870533,617416.702166139,862,0,0,0,0,BUS_RX,8,44594E4553532D4C,can1
22,1786725745.3355896,617416.750701889,863,0,0,0,0,BUS_RX,8,2BA4EB0E2A020000,can1
23,1786725745.3862581,617416.801371014,880,0,0,0,0,BUS_RX,8,44594E4553532D4C,can1
24,1786725745.390029,617416.805138639,1023,0,0,0,0,BUS_RX,8,630F970000000001,can1
25,1786725745.44216,617416.85727243,881,0,0,0,0,BUS_RX,8,2042415454455259,can1
26,1786725745.4876733,617416.902785764,781,0,0,0,0,BUS_RX,8,640005001E013002,can1
27,1786725745.6357317,617417.050845139,1023,0,0,0,0,BUS_RX,8,630F960000000001,can1
28,1786725745.6628432,617417.077955347,773,0,0,0,1,CERBO_TX,8,0000000000000000,can1
29,1786725745.663875,617417.07898393,775,0,0,0,1,CERBO_TX,8,1234567856494300,can1
30,1786725745.885756,617417.300881847,1023,0,0,0,0,BUS_RX,8,630F960000000001,can1
31,1786725745.9363,617417.351414014,783,0,0,0,0,BUS_RX,8,0000000000000000,can1
32,1786725745.9873056,617417.402417097,849,0,0,0,0,BUS_RX,8,35026004880FE001,can1
33,1786725746.035768,617417.450882389,853,0,0,0,0,BUS_RX,8,6300640000000000,can1
34,1786725746.0855682,617417.500680597,854,0,0,0,0,BUS_RX,8,64151400F0000000,can1
35,1786725746.1355426,617417.550655306,857,0,0,0,0,BUS_RX,8,0000000002000000,can1
36,1786725746.1367521,617417.551858472,1023,0,0,0,0,BUS_RX,8,630F960000000001,can1
37,1786725746.1855395,617417.600651764,858,0,0,0,0,BUS_RX,8,0000000000000000,can1
38,1786725746.2370386,617417.652150639,860,0,0,0,0,BUS_RX,8,C000000000000000,can1
